INVOICE_AND_ITEM_NUMBER,SALE_DATE,SALE_YEAR,SALE_MONTH,STORE_NUMBER,STORE_NAME,ADDRESS,CITY,ZIP_CODE,STORE_LOCATION,COUNTY_NUMBER,COUNTY,CATEGORY,CATEGORY_NAME,LIQUOR_CATEGORY,VENDOR_NUMBER,VENDOR_NAME,ITEM_NUMBER,ITEM_DESCRIPTION,PACK,BOTTLE_VOLUME_ML,STATE_BOTTLE_COST,STATE_BOTTLE_RETAIL,BOTTLES_SOLD,SALE_DOLLARS,VOLUME_SOLD_LITERS,VOLUME_SOLD_GALLONS
INV-55992700006,2023-02-17,2023,2,3857,QUILLINS FOOD RANCH / WAUKON,9TH ST SW B,WAUKON,52172,,,ALLAMAKEE,1082200,IMPORTED SCHNAPPS,SCHNAPPS,421,SAZERAC COMPANY  INC,69637,DR MCGILLICUDDYS CHERRY,12,1000,11,16.5,12,198,12,3.17
INV-75539800017,2024-10-21,2024,10,2635,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,52807,"{
  ""coordinates"": [
    -90.5139,
    41.57692
  ],
  ""type"": ""Point""
}",,SCOTT,1011600,STRAIGHT RYE WHISKIES,WHISKIES,255,INFINIUM SPIRITS,27102,TEMPLETON RYE 4YR,6,750,15.4,23.1,6,138.6,4.5,1.18
INV-60811700017,2023-07-31,2023,7,4594,QUIK TRIP #554 / SW 63RD DM,901 SW 63RD ST,DES MOINES,50312,"{
  ""coordinates"": [
    -93.702559003,
    41.569872988
  ],
  ""type"": ""Point""
}",,POLK,1031200,AMERICAN FLAVORED VODKA,VODKAS,205,E & J GALLO WINERY,40598,NEW AMSTERDAM RED BERRY,24,375,4,6,4,24,1.5,0.39
INV-28623500011,2020-07-10,2020,7,2445,RUBACK'S FOOD CENTER,504 SOUTH HIGHWAY,OAKLAND,51560,,78,POTTAWATTAMIE,1022200,100% AGAVE TEQUILA,TEQUILAS,35,BACARDI USA INC,88296,PATRON SILVER,12,750,27.5,41.25,3,123.75,2.25,0.59
INV-25437000001,2020-02-25,2020,2,5643,CONOCO / LE GRAND,806 W MAIN ST,LE GRAND,50142,"{
  ""coordinates"": [
    -92.78465400000002,
    42.006665
  ],
  ""type"": ""Point""
}",64,MARSHALL,1081400,AMERICAN SCHNAPPS,SCHNAPPS,434,LUXCO INC,80576,ARROW PEPPERMINT SCHNAPPS,12,750,3.5,5.25,2,10.5,1.5,0.39
INV-70501800027,2024-05-23,2024,5,2636,HY-VEE WINE AND SPIRITS / HUBBELL,2310 HUBBELL AVE,DES MOINES,50317,"{
  ""coordinates"": [
    -93.574113042,
    41.60463601
  ],
  ""type"": ""Point""
}",,POLK,1062100,GOLD RUM,RUMS,35,BACARDI USA INC,43034,BACARDI GOLD,24,375,5,7.5,24,180,9,2.37
INV-20837800046,2019-07-25,2019,7,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241,"{
  ""coordinates"": [
    -91.60627100000002,
    41.721438
  ],
  ""type"": ""Point""
}",52,JOHNSON,1081600,WHISKEY LIQUEUR,WHISKIES,421,SAZERAC COMPANY  INC,64868,FIREBALL CINNAMON WHISKEY,6,1750,15.33,23,6,138,10.5,2.77
INV-89703500009,2025-12-16,2025,12,10473,DESIGNER INN & SUITES / TOLEDO,403 BUSINESS HWY 30 W,TOLEDO,52342,"{
  ""coordinates"": [
    -92.5864,
    41.98904
  ],
  ""type"": ""Point""
}",,TAMA,1012100,CANADIAN WHISKIES,WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,2,52.48,1.5,0.39
INV-76943700001,2024-11-26,2024,11,5917,URBANDALE LIQUOR,6401 DOUGLAS AVE. STE 1,URBANDALE,50322,"{
  ""coordinates"": [
    -93.70588,
    41.62996
  ],
  ""type"": ""Point""
}",,POLK,1081400,AMERICAN SCHNAPPS,SCHNAPPS,421,SAZERAC COMPANY  INC,84226,99 STRAWBERRIES MINI,1,50,52.4,78.6,2,157.2,0.1,0.02
INV-53487300034,2022-11-29,2022,11,5882,HOMETOWN FOODS / STATE CENTER,120 E MAIN ST,STATE CENTER,50247,"{
  ""coordinates"": [
    -93.1624,
    42.01683
  ],
  ""type"": ""Point""
}",,MARSHALL,1081200,CREAM LIQUEURS,LIQUEURS,205,E & J GALLO WINERY,73053,RUMCHATA,6,1000,17,25.5,2,51,2,0.52
INV-42308600028,2021-11-23,2021,11,4000,FOODLAND SUPER MARKETS / WOODBINE,62 5TH ST,WOODBINE,51579,"{
  ""coordinates"": [
    -95.702814,
    41.737038
  ],
  ""type"": ""Point""
}",43,HARRISON,1051100,AMERICAN BRANDIES,BRANDIES,434,LUXCO INC,55086,PARAMOUNT BLACKBERRY BRANDY,12,750,5.5,8.25,2,16.5,1.5,0.39
INV-19175900014,2019-05-06,2019,5,4787,380BP / SWISHER,2722 NE 120TH ST,SWISHER,52338,"{
  ""coordinates"": [
    -91.664592,
    41.847894
  ],
  ""type"": ""Point""
}",52,JOHNSON,1031100,AMERICAN VODKAS,VODKAS,434,LUXCO INC,36306,HAWKEYE VODKA,12,750,3.34,5.01,12,60.12,9,2.37
INV-66942300021,2024-02-06,2024,2,4379,KUM & GO #2091 / ASHWORTH / WDM,5969 ASHWORTH RD,WEST DES MOINES,50266,"{
  ""coordinates"": [
    -93.789571958,
    41.585103996
  ],
  ""type"": ""Point""
}",,POLK,1031100,AMERICAN VODKAS,VODKAS,777,"BLUE OX SPIRITS, INC.",36875,BLUE OX VODKA,6,1750,7.63,11.45,1,11.45,1.75,0.46
INV-44838500024,2022-02-17,2022,2,5860,KUM & GO #0217 -AMES,3111 SOUTH DUFF AVENUE,AMES,50010,"{
  ""coordinates"": [
    -93.6102,
    41.99492
  ],
  ""type"": ""Point""
}",85,STORY,1031100,AMERICAN VODKAS,VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,6,16.74,2.25,0.59
INV-43012200038,2021-12-17,2021,12,3721,WAL-MART 0913 / DECORAH,1798 OLD STAGE RD,DECORAH,52101,"{
  ""coordinates"": [
    -91.752933,
    43.290185
  ],
  ""type"": ""Point""
}",96,WINNESHIEK,1022100,MIXTO TEQUILA,TEQUILAS,395,PROXIMO,89197,JOSE CUERVO ESPECIAL REPOSADO,12,1000,13.5,20.25,12,243,12,3.17
INV-58631400004,2023-05-19,2023,5,5268,THE DEPOT ATKINS,"188, PARKRIDGE RD",ATKINS,52206,"{
  ""coordinates"": [
    -91.86270602599996,
    41.992304983000054
  ],
  ""type"": ""Point""
}",,BENTON,1701100,TEMPORARY & SPECIALTY PACKAGES,SPECIALTY SPIRITS,421,SAZERAC COMPANY  INC,16841,BLANTONS GOLD BOURBON,6,750,60,90,1,90,0.75,0.19
INV-56244600049,2023-02-28,2023,2,5351,DOWNTOWN LIQUOR,1203 5TH ST.,SIOUX CITY,51101,"{
  ""coordinates"": [
    -96.39468,
    42.49535
  ],
  ""type"": ""Point""
}",,WOODBURY,1011200,STRAIGHT BOURBON WHISKIES,WHISKIES,65,JIM BEAM BRANDS,27783,JIM BEAM APPLE,12,750,11,16.5,24,396,18,4.75
INV-26781100025,2020-04-24,2020,4,4023,WAL-MART 1389 / BOONE,1515 SE MARSHALL ST,BOONE,50036,"{
  ""coordinates"": [
    -93.869892,
    42.035093
  ],
  ""type"": ""Point""
}",8,BOONE,1071100,COCKTAILS/RTD,COCKTAIL MIXERS,395,PROXIMO,59154,1800 ULTIMATE MARGARITA,6,1750,10.04,15.06,6,90.36,10.5,2.77
INV-44856400034,2022-02-17,2022,2,5941,PRIME MART - CEDAR FALLS,2728 CENTER ST,CEDAR FALLS,50613,"{
  ""coordinates"": [
    -92.455972,
    42.561054
  ],
  ""type"": ""Point""
}",7,BLACK HAWK,1031100,AMERICAN VODKAS,VODKAS,205,E & J GALLO WINERY,36965,NEW AMSTERDAM 80PRF MINI,10,50,5.54,8.31,1,8.31,0.05,0.01
INV-60667100012,2023-07-25,2023,7,4902,BROADWAY LIQUOR,821 BROADWAY ST,WATERLOO,50703,"{
  ""coordinates"": [
    -92.345596017,
    42.513713004
  ],
  ""type"": ""Point""
}",,BLACK HAWK,1012200,SCOTCH WHISKIES,WHISKIES,260,DIAGEO AMERICAS,5345,JOHNNIE WALKER RED,24,375,8,12,3,36,1.12,0.29
